video_id,R1,G1,B1,W1,R2,G2,B2,W2,R3,G3,B3,W3
7537707440142454038,61,67,82,0.2935714285714286,193,204,213,0.3504464285714285,130,143,165,0.3559821428571428
7480851478555659543,175,180,185,0.91425,25,36,45,0.0672142857142857,112,118,124,0.0185357142857142
7478288153153916182,199,200,198,0.3276428571428571,62,104,161,0.4567857142857143,48,51,50,0.2155714285714285
7476404323317222658,147,164,169,0.2049553571428571,58,95,122,0.2416517857142857,181,192,192,0.5533928571428571
7474625701350509846,88,124,175,0.4078125,188,207,225,0.4404017857142857,44,45,48,0.1517857142857142
7473095088948759830,181,179,172,0.2680357142857142,119,89,88,0.2538392857142857,33,19,24,0.478125
7471251146288418070,103,99,107,0.3733333333333333,200,194,196,0.1845833333333333,48,36,50,0.4420833333333333
7468715378743528736,52,20,35,0.4138095238095238,172,174,189,0.2670833333333333,107,82,99,0.3191071428571428
7467231080735690017,74,81,102,0.29175,122,132,157,0.6185357142857143,192,196,206,0.0897142857142857
7466117788898315552,117,142,158,0.3169285714285714,58,77,93,0.1476785714285714,183,186,190,0.5353928571428571
7465375886779403552,106,97,112,0.3957142857142857,155,155,160,0.3691071428571428,33,20,28,0.2351785714285714
7463520186876939552,113,148,172,0.3324404761904762,215,221,220,0.3697916666666667,64,92,114,0.2977678571428571
7458325240628661537,35,28,18,0.5944642857142857,159,101,57,0.3071428571428571,216,243,221,0.0983928571428571
7456840693982465312,192,199,206,0.4774404761904762,101,131,164,0.2958928571428571,31,52,74,0.2266666666666666
7454985264952266016,110,110,121,0.3009375,202,205,207,0.5011160714285714,37,39,45,0.1979464285714285
7452758752337399073,142,105,81,0.1558035714285714,205,180,149,0.1709375,69,54,51,0.6732589285714285
7452387800818666785,24,63,110,0.381845238095238,135,184,227,0.3129761904761904,115,116,143,0.3051785714285714
7449430237114404128,207,216,219,0.3435714285714286,105,135,159,0.3351785714285714,51,71,90,0.32125
7444595106025442593,202,204,204,0.4347023809523809,16,42,80,0.308452380952381,92,120,147,0.256845238095238
7441626192760884513,213,158,76,0.2922023809523809,34,27,20,0.4370238095238095,119,96,69,0.2707738095238095
