video_id,nb_textbloc
7323108113698147616,3
7320909330314775840,3
7320159598290226464,3
7319513643534568736,4
7318707614332849441,0
7317664309432077600,3
7317307650499251488,1
7316470398261021985,1
7316159323728661792,0
7312076882822909217,1
7311663059695570208,3
7311263969220644129,1
7310626433129270560,1
7310258308969991457,3
7309427596553489696,4
7309091598472727840,1
7308758430318071072,2
7306585450305555745,0
7304665669872782625,1
7303586993965960480,0
7303174310259166497,9
7302346370701118752,2
7302041138670619936,7
7301229129314159904,1
7300846195444927776,3
7300495910595808545,3
7299732621825690912,6
7298264093100674336,1
7297134358689860896,2
7296115605927644449,4
7294901504752782625,3
7294149539781463328,1
7293176268361665824,8
7292048482456587553,1
7291300657355689249,8
7290955653349133600,8
7290457107726339360,2
7289785625367153952,1
7288326750243704096,2
7287986771483282720,2
7285256841158790433,3
7284876929713442080,0
7283524894585883936,0
7283139399582240032,0
7282663509505133856,0
7281279828307856673,1
7280571511138782496,1
7280108212878200096,1
7279032970286009632,2
7277939332831251744,0
7276041559500475680,0
7274647533002034465,0
7271935381937884448,0
7270111755886415137,0
7269759073967525153,5
7265326628274752801,0
7264958192017362208,0
7264173669612670240,3
7262342975752113441,2
7262001980095106337,0
7259455690996075803,3
7259047429796908315,3
7258676118033599771,10
7256066819247623450,1
7254561581449612571,3
7253425216984976667,0
7252685251112176922,3
7246768104922008858,1
7245708272181759258,0
7245239505911893274,0
7244550731141844251,4
7242719682128530714,2
7242348894435167514,6
7241956873698577691,6
7241209133540609307,2
7239735340737498395,1
7239344688006728986,8
7238235896724704538,9
7237872414581935386,2
7237511650532773146,4
7237120496020573467,8
7236760874646637851,4
7236382869650689306,1
7236043111128894747,1
7235651777805290778,0
7235266120414924058,1
7234782434531839258,4
7233784589523717402,0
7233472157588753691,0
7233097610821700890,3
7230327665918512411,2
7229342870518385946,1
7228975701066550554,0
7227881339125583131,4
7227547227005209882,0
7227138868447923482,6
7226734943869750555,4
7226428593075752218,5
7226043488738069787,3
7225632323146943771,0
7225296808900152603,4
7224934115089370395,0
7223080468101483781,1
7221875155184733445,1
7221552853356236037,7
7219686321739123974,0
7218857185764216069,3
7218493650160897306,1
7218219061707033882,0
7215656408069442822,3
7215124561799449861,1
7214767845383900421,0
7213655175318211845,1
7213453348270378246,4
7213053350290459910,0
7211932492914298118,2
7211431817205878021,0
7211130311667715334,0
7210434710646836485,3
7209925340557348101,4
7208839545989762309,1
7208539932422425861,9
7207350500419702022,7
7204907848449527045,4
7203810617180933382,1
7203048812351327494,7
7202313398300724485,3
7201579247616494853,0
7198831282984324358,2
7198189694750838022,5
7197445468585037062,5
7196711667420384517,2
7195937456271691014,4
7195215450970606853,4
7192298503878577413,3
7191848035784117510,0
7188587993752702213,6
7184844462525287685,4
7184090635018784005,1
7183009043407965445,0
7181547992061676805,2
7179688144382512390,0
7177655896699325702,0
7176917454893911301,3
7172555111879757062,0
7164772525006720262,0
7143162692004482310,0
7137227107456879877,1
7135716231218318597,0
